Country,Last_5,Prev_5,Unit,improvement_absolute,avg_impr,Improvement_Perc,Rank
Guinea,366957.0,116672.0,t,250285.0,53360.0,215.0,1
Senegal,142600.0,67133.0,t,75467.0,53360.0,112.0,2
Burundi,400241.0,191633.0,t,208608.0,53360.0,109.0,3
Niger,293435.0,143749.0,t,149686.0,53360.0,104.0,4
Afghanistan,886778.0,444912.0,t,441866.0,53360.0,99.0,5
Mozambique,466991.0,264133.0,t,202858.0,53360.0,77.0,6
Iraq,406595.0,237660.0,t,168935.0,53360.0,71.0,7
Turkmenistan,579182.0,344419.0,t,234763.0,53360.0,68.0,8
Pakistan,6310316.0,3864175.0,t,2446141.0,53360.0,63.0,9
Uganda,352085.0,230398.0,t,121687.0,53360.0,53.0,10
Egypt,6468126.0,4696211.0,t,1771915.0,53360.0,38.0,11
Denmark,2584200.0,1887536.0,t,696664.0,53360.0,37.0,12
Saudi Arabia,565975.0,422767.0,t,143208.0,53360.0,34.0,13
Malawi,1369084.0,1097126.0,t,271958.0,53360.0,25.0,14
Ethiopia,1176443.0,957010.0,t,219433.0,53360.0,23.0,15
Kenya,2017655.0,1663130.0,t,354525.0,53360.0,21.0,16
Tajikistan,1059307.0,877361.0,t,181946.0,53360.0,21.0,16
Uzbekistan,3307281.0,2728882.0,t,578399.0,53360.0,21.0,16
Sudan,502404.0,418975.0,t,83429.0,53360.0,20.0,19
Azerbaijan,1037709.0,874865.0,t,162844.0,53360.0,19.0,20
Zimbabwe,525786.0,441285.0,t,84501.0,53360.0,19.0,20
Nepal,3293731.0,2797684.0,t,496047.0,53360.0,18.0,22
Bolivia (Plurinational State of),1251675.0,1080608.0,t,171067.0,53360.0,16.0,23
Guatemala,615762.0,541669.0,t,74093.0,53360.0,14.0,24
Peru,5617756.0,4941883.0,t,675873.0,53360.0,14.0,24
Rwanda,908646.0,795032.0,t,113614.0,53360.0,14.0,24
Syrian Arab Republic,610354.0,535400.0,t,74954.0,53360.0,14.0,24
Türkiye,5235965.0,4605200.0,t,630765.0,53360.0,14.0,24
India,53860000.0,47547200.0,t,6312800.0,53360.0,13.0,29
France,8608736.0,7713548.0,t,895188.0,53360.0,12.0,30
Argentina,2626460.0,2393738.0,t,232722.0,53360.0,10.0,31
Lebanon,639536.0,581184.0,t,58352.0,53360.0,10.0,31
Mexico,1908148.0,1744217.0,t,163931.0,53360.0,9.0,33
South Africa,2576556.0,2361933.0,t,214623.0,53360.0,9.0,33
Austria,737420.0,681140.0,t,56280.0,53360.0,8.0,35
Indonesia,1342200.0,1245926.0,t,96274.0,53360.0,8.0,35
Canada,5924437.0,5497506.0,t,426931.0,53360.0,8.0,35
Australia,1228319.0,1149957.0,t,78362.0,53360.0,7.0,38
China,92535918.0,86189877.0,t,6346041.0,53360.0,7.0,38
Germany,11184020.0,10678080.0,t,505940.0,53360.0,5.0,40
Bangladesh,9944979.0,9527751.0,t,417228.0,53360.0,4.0,41
Belgium,3885532.0,3787088.0,t,98444.0,53360.0,3.0,42
Brazil,3886597.0,3758587.0,t,128010.0,53360.0,3.0,42
Netherlands (Kingdom of the),6812934.0,6740708.0,t,72226.0,53360.0,1.0,44
