Country,Avg_Yield,Unit,Ton_Avg_Yield,Unit_t,Avg_Area,Unit_1
New Zealand,47909.0,kg/ha,47.909,t/ha,10448.0,ha
United States of America,46115.0,kg/ha,46.115,t/ha,435137.0,ha
Belgium,43781.0,kg/ha,43.781,t/ha,77738.0,ha
Netherlands (Kingdom of the),43347.0,kg/ha,43.347,t/ha,159511.0,ha
France,42143.0,kg/ha,42.143,t/ha,174453.0,ha
Germany,42022.0,kg/ha,42.022,t/ha,264926.0,ha
Denmark,40813.0,kg/ha,40.813,t/ha,44914.0,ha
United Kingdom of Great Britain and Northern Ireland,40614.0,kg/ha,40.614,t/ha,142548.0,ha
Switzerland,38820.0,kg/ha,38.82,t/ha,11690.0,ha
Australia,37271.0,kg/ha,37.271,t/ha,33349.0,ha
Ireland,36492.0,kg/ha,36.492,t/ha,10792.0,ha
Kuwait,35438.0,kg/ha,35.438,t/ha,956.0,ha
South Africa,34862.0,kg/ha,34.862,t/ha,60990.0,ha
Israel,34040.0,kg/ha,34.04,t/ha,15790.0,ha
Palestine,33306.0,kg/ha,33.306,t/ha,1830.0,ha
Jordan,32970.0,kg/ha,32.97,t/ha,4750.0,ha
Sweden,32249.0,kg/ha,32.249,t/ha,26679.0,ha
Austria,31287.0,kg/ha,31.287,t/ha,22273.0,ha
Japan,31133.0,kg/ha,31.133,t/ha,81153.0,ha
Türkiye,30992.0,kg/ha,30.992,t/ha,155181.0,ha
Argentina,30825.0,kg/ha,30.825,t/ha,73262.0,ha
Spain,29894.0,kg/ha,29.894,t/ha,81558.0,ha
Luxembourg,29736.0,kg/ha,29.736,t/ha,628.0,ha
Canada,28104.0,kg/ha,28.104,t/ha,250006.0,ha
Iran (Islamic Republic of),28015.0,kg/ha,28.015,t/ha,148762.0,ha
Mexico,27535.0,kg/ha,27.535,t/ha,61642.0,ha
Oman,27275.0,kg/ha,27.275,t/ha,447.0,ha
Morocco,27246.0,kg/ha,27.246,t/ha,59817.0,ha
Norway,26674.0,kg/ha,26.674,t/ha,13076.0,ha
El Salvador,26620.0,kg/ha,26.62,t/ha,337.0,ha
Brazil,26486.0,kg/ha,26.486,t/ha,135429.0,ha
Algeria,26379.0,kg/ha,26.379,t/ha,120844.0,ha
Egypt,26375.0,kg/ha,26.375,t/ha,153110.0,ha
Finland,26322.0,kg/ha,26.322,t/ha,24308.0,ha
Italy,26102.0,kg/ha,26.102,t/ha,60369.0,ha
Czechia,25965.0,kg/ha,25.965,t/ha,29964.0,ha
Uzbekistan,25945.0,kg/ha,25.945,t/ha,72666.0,ha
Guatemala,25872.0,kg/ha,25.872,t/ha,19129.0,ha
Republic of Korea,25597.0,kg/ha,25.597,t/ha,23542.0,ha
Lebanon,25268.0,kg/ha,25.268,t/ha,18754.0,ha
Saudi Arabia,25142.0,kg/ha,25.142,t/ha,17352.0,ha
United Arab Emirates,24652.0,kg/ha,24.652,t/ha,219.0,ha
Hungary,24490.0,kg/ha,24.49,t/ha,21740.0,ha
Zimbabwe,24392.0,kg/ha,24.392,t/ha,12368.0,ha
Costa Rica,23767.0,kg/ha,23.767,t/ha,3031.0,ha
Panama,23642.0,kg/ha,23.642,t/ha,1065.0,ha
Dominican Republic,23380.0,kg/ha,23.38,t/ha,2674.0,ha
Slovenia,23365.0,kg/ha,23.365,t/ha,4538.0,ha
"China, Taiwan Province of",23285.0,kg/ha,23.285,t/ha,2259.0,ha
Greece,23176.0,kg/ha,23.176,t/ha,33846.0,ha
Cyprus,23085.0,kg/ha,23.085,t/ha,4870.0,ha
Chile,22999.0,kg/ha,22.999,t/ha,50262.0,ha
Lao People's Democratic Republic,22962.0,kg/ha,22.962,t/ha,1452.0,ha
Poland,22941.0,kg/ha,22.941,t/ha,488413.0,ha
Cuba,21947.0,kg/ha,21.947,t/ha,8406.0,ha
Mauritius,21911.0,kg/ha,21.911,t/ha,718.0,ha
