Year,Country,Production,Unit,YOY,Unit_1,YOY_Perc
1961,United States of America,13305000.0,t,,t,
1962,United States of America,12018000.0,t,-1287000.0,t,-10.0
1963,United States of America,12305931.0,t,287931.0,t,2.0
1964,United States of America,10941455.0,t,-1364476.0,t,-11.0
1965,United States of America,13210568.0,t,2269113.0,t,21.0
1966,United States of America,13939424.0,t,728856.0,t,6.0
1967,United States of America,13872474.0,t,-66950.0,t,-0.0
1968,United States of America,13402328.0,t,-470146.0,t,-3.0
1969,United States of America,14181460.0,t,779132.0,t,6.0
1970,United States of America,14774200.0,t,592740.0,t,4.0
1971,United States of America,14484500.0,t,-289700.0,t,-2.0
1972,United States of America,13442548.0,t,-1041952.0,t,-7.0
1973,United States of America,13608290.0,t,165742.0,t,1.0
1974,United States of America,15530695.0,t,1922405.0,t,14.0
1975,United States of America,14604600.0,t,-926095.0,t,-6.0
1976,United States of America,16223372.0,t,1618772.0,t,11.0
1977,United States of America,16117595.0,t,-105777.0,t,-1.0
1978,United States of America,16615640.0,t,498045.0,t,3.0
1979,United States of America,15533100.0,t,-1082540.0,t,-7.0
1980,United States of America,13785000.0,t,-1748100.0,t,-11.0
1981,United States of America,15450000.0,t,1665000.0,t,12.0
1982,United States of America,16108500.0,t,658500.0,t,4.0
1983,United States of America,15137600.0,t,-970900.0,t,-6.0
1984,United States of America,16422000.0,t,1284400.0,t,8.0
1985,United States of America,18443008.0,t,2021008.0,t,12.0
1986,United States of America,16408000.0,t,-2035008.0,t,-11.0
1987,United States of America,17659200.0,t,1251200.0,t,8.0
1988,United States of America,16167800.0,t,-1491400.0,t,-8.0
1989,United States of America,16803008.0,t,635208.0,t,4.0
1990,United States of America,18239008.0,t,1436000.0,t,9.0
1991,United States of America,18943008.0,t,704000.0,t,4.0
1992,United States of America,19294000.0,t,350992.0,t,2.0
1993,United States of America,19520300.0,t,226300.0,t,1.0
1994,United States of America,21292760.0,t,1772460.0,t,9.0
1995,United States of America,20189350.0,t,-1103410.0,t,-5.0
1996,United States of America,22645780.0,t,2456430.0,t,12.0
1997,United States of America,21186890.0,t,-1458890.0,t,-6.0
1998,United States of America,21575890.0,t,389000.0,t,2.0
1999,United States of America,21685930.0,t,110040.0,t,1.0
2000,United States of America,23293964.0,t,1608034.0,t,7.0
2001,United States of America,19852512.0,t,-3441452.0,t,-15.0
2002,United States of America,20782288.0,t,929776.0,t,5.0
2003,United States of America,20783556.0,t,1268.0,t,0.0
2004,United States of America,20675012.0,t,-108544.0,t,-1.0
2005,United States of America,19222700.0,t,-1452312.0,t,-7.0
2006,United States of America,19989724.0,t,767024.0,t,4.0
2007,United States of America,20179192.0,t,189468.0,t,1.0
2008,United States of America,18826578.0,t,-1352614.0,t,-7.0
2009,United States of America,19622476.0,t,795898.0,t,4.0
2010,United States of America,18350034.0,t,-1272442.0,t,-6.0
2011,United States of America,19506150.0,t,1156116.0,t,6.0
2012,United States of America,21090685.0,t,1584535.0,t,8.0
2013,United States of America,19715480.0,t,-1375205.0,t,-7.0
2014,United States of America,20056500.0,t,341020.0,t,2.0
2015,United States of America,20012720.0,t,-43780.0,t,-0.0
2016,United States of America,20426359.0,t,413639.0,t,2.0
2017,United States of America,20453430.0,t,27071.0,t,0.0
2018,United States of America,20421560.0,t,-31870.0,t,-0.0
2019,United States of America,19251320.0,t,-1170240.0,t,-6.0
2020,United States of America,19051790.0,t,-199530.0,t,-1.0
2021,United States of America,18717000.0,t,-334790.0,t,-2.0
2022,United States of America,18236860.0,t,-480140.0,t,-3.0
2023,United States of America,19992090.0,t,1755230.0,t,10.0
