Country,Prev_Year,Prev_Year_Production,Year,Production,YOY,YOY_Perc
Iraq,2010,204597.0,2011,557401.0,352804.0,172.0
Kenya,2004,1084412.0,2005,2640600.0,1556188.0,144.0
Iraq,2018,165589.0,2019,392348.0,226759.0,137.0
Angola,2008,402207.0,2009,823266.0,421059.0,105.0
Saudi Arabia,2014,229480.0,2015,459186.0,229706.0,100.0
United Republic of Tanzania,2017,583082.0,2018,1080144.0,497062.0,85.0
Ecuador,2000,239715.0,2001,441413.0,201698.0,84.0
Ethiopia,2011,475441.0,2012,863348.0,387907.0,82.0
Ireland,2012,232000.0,2013,410100.0,178100.0,77.0
Iraq,2019,392348.0,2020,674840.0,282492.0,72.0
United Republic of Tanzania,2009,860980.0,2010,1472560.0,611580.0,71.0
Nigeria,2007,662000.0,2008,1105000.0,443000.0,67.0
Kenya,2000,670303.0,2001,1112849.0,442546.0,66.0
Angola,2006,295142.0,2007,491216.0,196074.0,66.0
Pakistan,2006,1568000.0,2007,2581500.0,1013500.0,65.0
Guatemala,2000,216994.0,2001,355457.66,138463.65999999997,64.0
Uganda,2020,250000.0,2021,394400.0,144400.0,58.0
Cameroon,2014,220556.0,2015,346332.0,125776.0,57.0
Malawi,2005,1485883.0,2006,2309426.0,823543.0,55.0
Lebanon,2001,257000.0,2002,397100.0,140100.0,55.0
Russian Federation,2010,21140539.0,2011,32681467.0,11540928.0,55.0
Chile,2010,1081349.2,2011,1676444.0,595094.8,55.0
Bulgaria,2000,397532.0,2001,600371.0,202839.0,51.0
Bangladesh,2009,5268000.0,2010,7930000.0,2662000.0,51.0
Slovakia,2001,323303.0,2002,484269.0,160966.0,50.0
Afghanistan,2018,615684.0,2019,921122.0,305438.0,50.0
Ecuador,2002,257433.0,2003,381748.0,124315.0,48.0
Ecuador,2019,275345.67,2020,408313.3,132967.63,48.0
Bosnia and Herzegovina,2003,302225.0,2004,447080.0,144855.0,48.0
Serbia and Montenegro,2000,690446.0,2001,1015017.0,324571.0,47.0
Lebanon,2012,280000.0,2013,412000.0,132000.0,47.0
Lithuania,2001,1054400.0,2002,1531300.0,476900.0,45.0
Zimbabwe,2019,408158.0,2020,592779.0,184621.0,45.0
Serbia,2018,487909.0,2019,702086.13,214177.13,44.0
Iraq,2001,623000.0,2002,897000.0,274000.0,44.0
Algeria,2007,1506859.0,2008,2171058.0,664199.0,44.0
United Republic of Tanzania,2012,1235041.0,2013,1767536.0,532495.0,43.0
Austria,2015,536472.82,2016,767261.12,230788.30000000005,43.0
Ethiopia,2008,402508.0,2009,572332.0,169824.0,42.0
Kenya,2002,861566.0,2003,1223531.0,361965.0,42.0
Poland,2015,6313669.0,2016,8872445.0,2558776.0,41.0
Algeria,2002,1333465.0,2003,1879918.0,546453.0,41.0
