Year,USA,Global_Production,Unit,USA_Cont_Perc
1961,13305000.0,270551141.0,t,5.0
1962,12018000.0,252986543.0,t,5.0
1963,12305931.0,269981690.0,t,5.0
1964,10941455.0,284677697.0,t,4.0
1965,13210568.0,270912273.0,t,5.0
1966,13939424.0,281962819.0,t,5.0
1967,13872474.0,296219250.0,t,5.0
1968,13402328.0,303708169.0,t,4.0
1969,14181460.0,278475083.0,t,5.0
1970,14774200.0,298046840.0,t,5.0
1971,14484500.0,279489465.0,t,5.0
1972,13442548.0,272143664.0,t,5.0
1973,13608290.0,307158996.0,t,4.0
1974,15530695.0,284780226.0,t,5.0
1975,14604600.0,270382986.0,t,5.0
1976,16223372.0,272744024.0,t,6.0
1977,16117595.0,279666805.0,t,6.0
1978,16615640.0,291160722.0,t,6.0
1979,15533100.0,297920700.0,t,5.0
1980,13785000.0,240495149.0,t,6.0
1981,15450000.0,267780816.0,t,6.0
1982,16108500.0,265141702.0,t,6.0
1983,15137600.0,264470059.0,t,6.0
1984,16422000.0,290945057.0,t,6.0
1985,18443008.0,281602740.0,t,7.0
1986,16408000.0,286609431.0,t,6.0
1987,17659200.0,279414224.0,t,6.0
1988,16167800.0,268601866.0,t,6.0
1989,16803008.0,276582637.0,t,6.0
1990,18239008.0,266824123.0,t,7.0
1991,18943008.0,256993287.92000002,t,7.0
1992,19294000.0,278979592.1,t,7.0
1993,19520300.0,304614655.19000006,t,6.0
1994,21292760.0,270198497.32,t,8.0
1995,20189350.0,285329539.47,t,7.0
1996,22645780.0,310492904.0,t,7.0
1997,21186890.0,301078088.8600001,t,7.0
1998,21575890.0,297833665.56,t,7.0
1999,21685930.0,296109752.06999993,t,7.0
2000,23293964.0,322817990.86,t,7.0
2001,19852512.0,305546154.95,t,6.0
2002,20782288.0,309865038.8600001,t,7.0
2003,20783556.0,307664029.96000004,t,7.0
2004,20675012.0,328218313.56000006,t,6.0
2005,19222700.0,317739870.99,t,6.0
2006,19989724.0,307665613.48999995,t,6.0
2007,20179192.0,313306461.9499999,t,6.0
2008,18826578.0,327311702.01,t,6.0
2009,19622476.0,330884154.4599999,t,6.0
2010,18350034.0,328775588.77000004,t,6.0
2011,19506150.0,369067748.39,t,5.0
2012,21090685.0,362218226.56999993,t,6.0
2013,19715480.0,366327121.94,t,5.0
2014,20056500.0,369470819.42,t,5.0
2015,20012720.0,365656470.21,t,5.0
2016,20426359.0,354236120.7900001,t,6.0
2017,20453430.0,369278999.59000015,t,6.0
2018,20421560.0,364742705.41,t,6.0
2019,19251320.0,365804927.30999994,t,5.0
2020,19051790.0,368837532.69,t,5.0
2021,18717000.0,373645571.85999995,t,5.0
2022,18236860.0,373399784.6000001,t,5.0
2023,19992090.0,383082607.37000024,t,5.0
